index,Democratic,Liberation,Republic,Male,Female,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Cherokee tribal grouping,Chippewa tribal grouping,Navajo tribal grouping,Sioux tribal grouping,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Chamorro,Native Hawaiian,Samoan,Other Native Hawaiian and Other Pacific Islander,Some Other Race,White and Black or African American,White and American Indian and Alaska Native,White and Asian,White and Some Other Race,Black or African American and American Indian and Alaska Native,Black or African American and Some Other Race,Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone
Aleutians East Borough,76,12,243,"2,102","1,305",142,270,515,633,593,301,237,270,96,30,0,0,0,0,0,0,617,5,30,20,4,10,0,0,3,7,277,2,227,44,60,7,7,284,19,4,98,536,172,"1,248",676,10,15
Aleutians West Census Area,254,11,287,"3,484","1,735",334,319,885,831,"1,150",414,252,283,40,6,2,0,0,0,3,8,"1,845",12,65,132,58,183,0,3,176,4,285,7,93,44,197,10,31,581,2,140,79,"1,222",201,426,"2,114",183,0
Anchorage Municipality,49028,1152,35241,"149,144","141,530","18,328","21,652","48,906","40,272","34,222","17,449","16,837","22,832","9,338","2,598",253,172,86,95,760,"1,339","14,182",836,"2,620",389,"8,314","8,563",184,979,"5,778","1,622","7,728","4,485","11,947","6,029","4,979","1,323",468,"13,755","4,739","1,309","8,359","160,574","14,793","20,464","27,795","8,376","1,928"
Bethel Census Area,3074,29,573,"9,909","8,629","1,576","1,372","2,814","2,020","1,878","1,027",935,"1,004",338,93,0,2,0,3,17,0,84,0,157,0,4,40,0,3,37,0,89,0,550,6,57,28,0,164,5,0,230,"1,632",214,"15,275",260,40,0
Bristol Bay Borough,145,4,149,489,365,40,45,196,97,76,67,92,63,39,6,0,0,0,0,0,0,47,1,0,0,0,17,0,17,0,0,22,1,53,30,18,0,0,30,37,0,7,379,3,257,48,17,11
Chugach Census Area,1531,71,1510,"3,717","3,283",408,343,"1,139",966,753,421,725,687,191,47,47,0,0,0,0,17,428,26,0,18,0,94,10,7,77,0,344,5,312,71,89,4,0,320,4,0,90,"4,934",113,369,478,94,120
Copper River Census Area,103,4,142,"1,388","1,226",155,98,231,298,366,244,203,303,131,15,3,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,37,0,176,0,86,0,0,134,0,37,0,"1,370",1,886,12,0,0
Denali Borough,350,14,294,"1,417",684,106,113,228,603,301,194,52,221,65,10,0,0,0,0,0,12,61,0,0,0,0,0,0,0,0,0,45,0,65,147,0,0,0,15,0,0,20,"1,581",48,64,73,0,30
Dillingham Census Area,974,14,335,"2,492","2,362",350,351,763,515,456,288,312,410,118,40,0,0,0,0,36,0,19,10,7,6,0,3,0,0,3,0,2,0,387,11,6,15,3,122,6,0,34,694,76,"3,397",78,3,2
Fairbanks North Star Borough,14815,906,16209,"52,279","44,020","6,155","9,239","17,133","12,618","10,157","5,148","4,961","7,706","2,923",704,122,67,20,136,50,606,722,221,978,155,300,653,0,126,283,244,"1,672","1,825","3,657","1,308","2,536",37,117,"4,390","1,471",193,"1,984","65,269","3,786","6,423","2,981",653,510
Haines Borough,857,21,560,"1,079","1,000",172,28,110,250,299,122,190,314,123,12,0,0,0,0,0,0,40,0,0,0,28,0,0,0,0,0,2,7,12,133,5,0,0,148,0,20,2,"1,514",0,129,68,0,0
Hoonah-Angoon Census Area,672,14,285,"1,300","1,029",86,138,327,163,370,233,186,397,138,24,3,0,0,0,0,0,19,0,0,0,0,4,0,4,0,0,0,10,202,22,71,6,0,129,38,8,55,"1,158",0,650,19,4,0
Juneau City and Borough,8555,163,3911,"16,461","15,647","1,879","1,748","4,960","4,617","4,142","2,121","2,363","3,345","1,131",268,0,33,39,0,47,235,"1,653",75,73,0,234,437,5,3,108,321,620,169,"1,984",596,905,22,0,"1,233",185,183,699,"19,855",332,"2,967","2,176",437,117
Kenai Peninsula Borough,9689,484,16224,"31,086","28,149","3,633","3,151","7,384","7,312","7,091","4,080","4,773","7,406","2,718",881,117,34,0,6,7,108,597,118,83,42,66,222,121,14,54,33,"1,006",196,"2,739",513,971,16,0,"1,570",142,103,808,"46,195",374,"4,372","1,013",219,391
Ketchikan Gateway Borough,2219,103,2748,"7,232","6,678",815,794,"1,925","1,864","1,704","1,049","1,008","1,558",608,153,34,0,0,20,54,7,"1,088",10,6,8,7,29,0,6,10,13,217,75,874,126,212,10,0,404,70,46,265,"8,608",89,"1,949","1,166",29,40
Kodiak Island Borough,1825,94,1999,"6,991","6,074",757,916,"2,073","2,065","1,177",768,944,"1,081",338,188,0,14,6,0,0,0,"2,887",21,28,6,22,2,0,0,2,0,89,76,516,113,584,35,0,375,38,0,737,"6,007",102,"1,484","2,964",2,51
Kusilvak Census Area,1094,9,176,"4,576","3,796",747,602,"1,233",819,736,384,368,376,118,18,0,0,4,0,0,0,14,0,0,0,0,12,0,10,2,0,64,3,278,0,9,8,11,76,0,0,0,262,70,"7,606",14,12,0
Lake and Peninsula Borough,11761,760,28881,508,491,72,49,195,164,60,71,69,65,17,10,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,143,7,0,4,0,0,1,0,0,171,22,617,35,0,0
Matanuska-Susitna Borough,1734,27,560,"56,811","51,850","7,503","6,346","15,197","15,159","13,049","7,096","6,866","9,648","3,411",943,98,43,3,52,49,187,671,75,267,74,633,464,114,156,160,34,"1,449",505,"5,075","1,051","2,095",78,76,"2,891",871,238,"2,074","83,383","1,384","6,489","1,946",411,473
Nome Census Area,299,10,143,"5,237","4,781",794,767,"1,467","1,229","1,058",620,440,520,194,36,50,0,2,0,9,3,34,0,51,0,33,2,0,0,2,0,24,6,499,66,43,31,0,134,20,0,47,"1,391",99,"7,518",130,2,0
North Slope Borough,887,11,353,"6,766","4,158",652,622,"1,945","1,509","1,652",992,673,635,157,38,0,0,0,0,39,1,563,0,29,0,0,209,0,44,113,52,134,17,427,78,97,38,0,126,47,20,235,"3,417",193,"5,386",585,209,13
Northwest Arctic Borough,625,24,714,"4,105","3,577",596,466,"1,244",830,744,349,456,388,176,43,0,0,3,0,0,0,59,4,18,6,12,22,0,22,0,0,18,34,275,14,41,4,0,139,29,7,21,737,95,"6,180",99,11,0
Petersburg Borough,1123,33,942,"1,655","1,719",178,172,352,302,324,444,273,510,289,43,30,0,0,0,0,62,249,76,48,61,106,16,0,4,12,0,120,12,145,56,40,2,0,218,25,5,58,"1,842",39,224,602,16,11
Prince of Wales-Hyder Census Area,2225,55,1187,"3,223","2,576",353,271,696,643,731,505,456,796,258,66,0,3,9,2,0,0,50,2,7,7,14,45,0,11,16,18,29,0,543,53,56,2,0,137,4,0,95,"2,536",22,"2,177",80,45,22
Sitka City and Borough,534,12,129,"4,420","4,042",505,485,"1,222","1,196","1,015",542,721,814,436,125,2,7,3,0,29,12,563,32,16,4,11,103,6,97,0,0,90,53,806,121,273,0,0,408,51,34,133,"5,068",48,767,648,103,63
Skagway Municipality,539,60,1990,537,766,59,91,254,192,196,34,114,131,39,10,0,0,0,0,0,5,22,2,0,0,0,0,0,0,0,0,0,1,13,100,15,0,0,19,0,0,13,997,40,64,29,0,0
Southeast Fairbanks Census Area,12145,440,12526,"3,912","2,976",433,354,863,897,889,450,459,651,214,111,3,0,0,0,0,138,52,0,0,0,24,17,0,15,2,0,181,21,218,8,85,11,0,97,304,0,90,"4,945",61,876,214,2,5
Wrangell City and Borough,333,11,603,"1,136",998,114,73,249,163,255,146,170,299,222,55,10,9,0,0,0,0,12,0,0,0,6,46,0,9,0,37,21,0,254,21,55,0,0,59,6,13,45,"1,187",1,465,18,46,0
Yakutat City and Borough,214,1,74,352,212,34,48,69,63,59,29,38,93,37,9,0,0,2,0,0,0,69,37,0,0,8,12,4,4,0,4,8,0,46,0,5,0,0,37,0,0,0,173,12,136,114,12,0
Yukon-Koyukuk Census Area,873,21,391,"2,841","2,514",330,324,702,642,524,352,362,609,189,71,12,4,0,0,0,0,68,4,0,0,0,4,0,0,2,2,24,13,320,11,21,18,0,94,19,0,30,"1,165",10,"3,580",72,4,6